pmc_index	pmcc_index	mc7	mc8	mc8o	mc9	mc10	mc11	mc12	pmcc_id	pmcc_uuid	pmcc_submission_time	pmcc_parent_table_name	pmcc_parent_index	pmcc_tags	pmcc_notes	pmcc_version	pmcc_duration	pmcc_submitted_by
414.0	451	"legumes_oilseeds"	"sunflower"		1	0	6.0	0				"rgrp2"	414					
417.0	452	"cereals"	"maize"		1	1	70.0	0				"rgrp2"	417					
418.0	453	"roots_tubers"	"sweet_potatoes"		4	0	20.0	18				"rgrp2"	418					
423.0	454	"cereals"	"maize"		1	0	25.0	0				"rgrp2"	423					
425.0	455	"cereals"	"maize"		1	0	20.0	0				"rgrp2"	425					
426.0	456	"cereals"	"maize"		1	0	40.0	0				"rgrp2"	426					
427.0	457	"legumes_oilseeds"	"beans"		1	0	1.0	10				"rgrp2"	427					
428.0	458	"cereals"	"maize"		1	0	19.0	0				"rgrp2"	428					
429.0	459	"legumes_oilseeds"	"beans"		1	0	2.0	10				"rgrp2"	429					
430.0	460	"legumes_oilseeds"	"groundnut"		1	0	1.5	2				"rgrp2"	430					
431.0	461	"cereals"	"maize"		1	0	50.0	1				"rgrp2"	431					
433.0	462	"cereals"	"maize"		1	0	18.0	1				"rgrp2"	433					
434.0	463	"cereals"	"maize"		1	0	30.0	1				"rgrp2"	434					
435.0	464	"cereals"	"maize"		1	1	90.0	0				"rgrp2"	435					
436.0	465	"cereals"	"maize"		1	0	50.0	0				"rgrp2"	436					
437.0	466	"cereals"	"maize"		1	0	35.0	0				"rgrp2"	437					
438.0	467	"cereals"	"maize"		1	0	5.0	0				"rgrp2"	438					
438.0	468	"vegetables"	"okra"		2	0	8.0	10				"rgrp2"	438					
439.0	469	"cereals"	"maize"		1	0	4.0	0				"rgrp2"	439					
440.0	470	"cereals"	"maize"		1	1	7.0	0				"rgrp2"	440					
441.0	471	"cereals"	"maize"		3	0	4.0	0				"rgrp2"	441					
441.0	472	"legumes_oilseeds"	"sunflower"		3	0	3.0	10				"rgrp2"	441					
442.0	473	"cereals"	"maize"		1	0	30.0	0				"rgrp2"	442					
443.0	474	"cereals"	"maize"		1	0	10.0	0				"rgrp2"	443					
444.0	475	"legumes_oilseeds"	"sunflower"		1	1	3.0	0				"rgrp2"	444					
445.0	476	"cereals"	"maize"		1	0	6.0	1				"rgrp2"	445					
446.0	477	"cereals"	"maize"		1	0	7.0	1				"rgrp2"	446					
