fp_index	fpothinp_index	ramnd0	ramnd0b	rherbtyp	rherbtypo	ramnd1	ramnd2	ramnd3	ramnd4	ramnd5	fpothinp_id	fpothinp_uuid	fpothinp_submission_time	fpothinp_parent_table_name	fpothinp_parent_index	fpothinp_tags	fpothinp_notes	fpothinp_version	fpothinp_duration	fpothinp_submitted_by
33.0	25	17				4	1	1	2.0	3				"APS_tz17_fp"	33					
34.0	26	17				4	1	4	2.0	3				"APS_tz17_fp"	34					
36.0	27	25				4	2	1	5.0	3				"APS_tz17_fp"	36					
40.0	28	25				4	1	4	1.0	3				"APS_tz17_fp"	40					
41.0	29	25				4	1	2	2.0	3				"APS_tz17_fp"	41					
42.0	30	25				4	12	3	3.0	3				"APS_tz17_fp"	42					
43.0	31	17				4	3	1	1.0	3				"APS_tz17_fp"	43					
46.0	32	16				4	1	2	1.0	3				"APS_tz17_fp"	46					
46.0	33	25				4	1	2	1.0	3				"APS_tz17_fp"	46					
47.0	34	25				4	2	1	1.0	3				"APS_tz17_fp"	47					
49.0	35	17				4	2	1	4.0	3				"APS_tz17_fp"	49					
51.0	36	17				4	1	3	1.0	3				"APS_tz17_fp"	51					
57.0	37	17				4	2	3	2.0	3				"APS_tz17_fp"	57					
67.0	38	17				4	11	2	1.0	3				"APS_tz17_fp"	67					
72.0	39	26				4	1	1	1.0	13				"APS_tz17_fp"	72					
93.0	40	17				4	2	1	2.0	3				"APS_tz17_fp"	93					
94.0	41	16				4	1	1	1.0	3				"APS_tz17_fp"	94					
95.0	42	17				4	2	1	3.0	3				"APS_tz17_fp"	95					
96.0	43	17				4	2	3	3.0	3				"APS_tz17_fp"	96					
97.0	44	17				4	12	4	3.0	3				"APS_tz17_fp"	97					
97.0	45	25				4	2	4	4.0	3				"APS_tz17_fp"	97					
98.0	46	17				4	2	4	10.0	3				"APS_tz17_fp"	98					
98.0	47	25				4	3	1	14.0	3				"APS_tz17_fp"	98					
100.0	48	17				4	1	4	4.0	3				"APS_tz17_fp"	100					
105.0	49	17				4	2	2	1.0	3				"APS_tz17_fp"	105					
105.0	50	25				4	1	2	1.0	3				"APS_tz17_fp"	105					
106.0	51	17				4	12	4	3.0	3				"APS_tz17_fp"	106					
108.0	52	17				4	1	4	1.0	3				"APS_tz17_fp"	108					
108.0	53	16				4	1	4	1.0	4				"APS_tz17_fp"	108					
108.0	54	25				4	1	4	1.0	3				"APS_tz17_fp"	108					
109.0	55	16				4	1	2	1.0	3				"APS_tz17_fp"	109					
109.0	56	15				3	1	1	1.0	3				"APS_tz17_fp"	109					
112.0	57	17				4	1	3	1.0	3				"APS_tz17_fp"	112					
113.0	58	17				4	1	4	1.0	3				"APS_tz17_fp"	113					
115.0	59	17				4	2	2	4.0	3				"APS_tz17_fp"	115					
