psc_index	pscc_index	sc7	sc8	sc8o	sc9	sc10	sc11	sc12	pscc_id	pscc_uuid	pscc_submission_time	pscc_parent_table_name	pscc_parent_index	pscc_tags	pscc_notes	pscc_version	pscc_duration	pscc_submitted_by
1451.0	118	"cash_other"	"coffee"		1	0	0.0	8				"rgrp4"	1451					
1457.0	119	"roots_tubers"	"irish_potatoes"		1	0	100.0	0				"rgrp4"	1457					
1459.0	120	"roots_tubers"	"irish_potatoes"		1	0	150.0	0				"rgrp4"	1459					
1460.0	121	"roots_tubers"	"irish_potatoes"		1	0	50.0	0				"rgrp4"	1460					
1467.0	122	"cereals"	"maize"		1	1	1.0	0				"rgrp4"	1467					
1509.0	123	"cereals"	"maize"		1	1	3.0	0				"rgrp4"	1509					
1528.0	124	"cash_other"	"coffee"		1	0	2.0	12				"rgrp4"	1528					
1547.0	125	"cash_other"	"coffee"		1	0	0.0	8				"rgrp4"	1547					
1559.0	126	"cash_other"	"coffee"		1	0	0.0	10				"rgrp4"	1559					
1657.0	127	"legumes_oilseeds"	"beans"		1	0	9.0	1				"rgrp4"	1657					
1709.0	128	"cereals"	"maize"		1	1	3.0	10				"rgrp4"	1709					
1710.0	129	"legumes_oilseeds"	"groundnut"		1	1	3.0	10				"rgrp4"	1710					
1711.0	130	"cereals"	"maize"		1	1	3.0	1				"rgrp4"	1711					
1712.0	131	"cereals"	"maize"		1	1	2.0	1				"rgrp4"	1712					
1786.0	132	"fruits"	"banana"		1	1	15.0	17				"rgrp4"	1786					
1786.0	133	"cash_other"	"coffee"		1	0	15.0	8				"rgrp4"	1786					
1787.0	134	"cereals"	"maize"		1	1	20.0	8				"rgrp4"	1787					
1787.0	135	"legumes_oilseeds"	"groundnut"		2	1	50.0	8				"rgrp4"	1787					
1788.0	136	"cereals"	"maize"		1	1	1.0	1				"rgrp4"	1788					
1788.0	137	"legumes_oilseeds"	"beans"		1	1	2.0	10				"rgrp4"	1788					
1789.0	138	"fruits"	"banana"		1	1	10.0	17				"rgrp4"	1789					
1789.0	139	"cash_other"	"coffee"		1	1	50.0	8				"rgrp4"	1789					
1790.0	140	"cereals"	"maize"		3	1	20.0	8				"rgrp4"	1790					
1790.0	141	"fruits"	"banana"		3	1	5.0	17				"rgrp4"	1790					
1790.0	142	"cash_other"	"other"	"Tree"	5	0	0.99	23				"rgrp4"	1790					
1791.0	143	"cereals"	"maize"		3	1	10.0	8				"rgrp4"	1791					
1791.0	144	"fruits"	"banana"		1	1	10.0	17				"rgrp4"	1791					
1792.0	145	"cereals"	"maize"		2	1	2.0	3				"rgrp4"	1792					
1792.0	146	"legumes_oilseeds"	"beans"		3	1	2.0	10				"rgrp4"	1792					
1793.0	147	"legumes_oilseeds"	"beans"		1	1	2.0	10				"rgrp4"	1793					
1793.0	148	"cereals"	"finger_millet"		3	1	40.0	8				"rgrp4"	1793					
1794.0	149	"cereals"	"maize"		1	1	2.0	8				"rgrp4"	1794					
1794.0	150	"legumes_oilseeds"	"pigeon_pea"		5	0	1.0	10				"rgrp4"	1794					
1795.0	151	"fruits"	"banana"		1	0	35.0	17				"rgrp4"	1795					
1796.0	152	"cereals"	"maize"		1	1	1.0	10				"rgrp4"	1796					
1796.0	153	"legumes_oilseeds"	"cowpeas"		5	1	5.0	8				"rgrp4"	1796					
1797.0	154	"legumes_oilseeds"	"beans"		1	1	15.0	8				"rgrp4"	1797					
1799.0	155	"legumes_oilseeds"	"beans"		1	1	5.0	8				"rgrp4"	1799					
1800.0	156	"cereals"	"maize"		3	1	0.0	8				"rgrp4"	1800					
1800.0	157	"legumes_oilseeds"	"beans"		3	1	0.0	8				"rgrp4"	1800					
1801.0	158	"cereals"	"maize"		1	1	0.0	8				"rgrp4"	1801					
1802.0	159	"cereals"	"maize"		1	1	0.0	8				"rgrp4"	1802					
1803.0	160	"cereals"	"maize"		2	1	30.0	8				"rgrp4"	1803					
1803.0	161	"legumes_oilseeds"	"beans"		4	1	25.0	8				"rgrp4"	1803					
1804.0	162	"cereals"	"maize"		1	1	2.0	1				"rgrp4"	1804					
1805.0	163	"cereals"	"maize"		2	1	1.0	1				"rgrp4"	1805					
1805.0	164	"legumes_oilseeds"	"beans"		4	1	1.0	3				"rgrp4"	1805					
1806.0	165	"cereals"	"maize"		1	1	0.0	8				"rgrp4"	1806					
1807.0	166	"cereals"	"maize"		1	1	0.0	8				"rgrp4"	1807					
1808.0	167	"cereals"	"maize"		2	1	0.0	1				"rgrp4"	1808					
