hh_index	cropsales_index	csal2g	csal2c	csal3	csal4	csal5	csal6	csal7	cropsales_id	cropsales_uuid	cropsales_submission_time	cropsales_parent_table_name	cropsales_parent_index	cropsales_tags	cropsales_notes	cropsales_version	cropsales_duration	cropsales_submitted_by
501.0	507	"legumes_oilseeds"	"beans"	2.0	1	1.5	1	150000				"APS_tz17_hh"	501					
501.0	508	"vegetables"	"tomatoes"	25.0	14	25.0	14	30000				"APS_tz17_hh"	501					
501.0	509	"vegetables"	"veg_other"	500.0	23	500.0	23	2000				"APS_tz17_hh"	501					
502.0	510	"cereals"	"maize"	49.0	10	35.0	10	20000				"APS_tz17_hh"	502					
502.0	511	"legumes_oilseeds"	"beans"	33.0	10	16.0	8	1500				"APS_tz17_hh"	502					
505.0	512	"cereals"	"maize"	20.0	1	10.0	1	50000				"APS_tz17_hh"	505					
506.0	513	"cereals"	"maize"	10.0	0	5.0	0	100000				"APS_tz17_hh"	506					
507.0	514	"cereals"	"maize"	30.0	0	23.0	0	65000				"APS_tz17_hh"	507					
507.0	515	"vegetables"	"spinach"	120.0	14	120.0	14	45000				"APS_tz17_hh"	507					
508.0	516	"cereals"	"maize"	6.0	0	3.0	0	130000				"APS_tz17_hh"	508					
508.0	517	"legumes_oilseeds"	"beans"	2.0	0	1.0	0	240000				"APS_tz17_hh"	508					
510.0	518	"cereals"	"maize"	23.0	1	5.0	1	40000				"APS_tz17_hh"	510					
513.0	519	"cereals"	"maize"	12.0	1	6.0	1	80000				"APS_tz17_hh"	513					
513.0	520	"legumes_oilseeds"	"pigeon_pea"	1.0	1	1.0	1	120000				"APS_tz17_hh"	513					
514.0	521	"cereals"	"maize"	30.0	1	15.0	1	75000				"APS_tz17_hh"	514					
515.0	522	"cereals"	"maize"	19.0	0	15.0	0	70000				"APS_tz17_hh"	515					
515.0	523	"legumes_oilseeds"	"pigeon_pea"	4.0	0	4.0	0	120000				"APS_tz17_hh"	515					
515.0	524	"legumes_oilseeds"	"sunflower"	4.0	2	3.0	2	55000				"APS_tz17_hh"	515					
516.0	525	"cereals"	"maize"	4.0	0	2.0	0	160000				"APS_tz17_hh"	516					
517.0	526	"cereals"	"maize"	42.0	0	20.0	0	36000				"APS_tz17_hh"	517					
517.0	527	"legumes_oilseeds"	"pigeon_pea"	3.0	0	3.0	0	90000				"APS_tz17_hh"	517					
518.0	528	"legumes_oilseeds"	"pigeon_pea"	2.5	0	2.0	1	80000				"APS_tz17_hh"	518					
519.0	529	"legumes_oilseeds"	"pigeon_pea"	4.3	0	4.0	1	90000				"APS_tz17_hh"	519					
520.0	530	"cereals"	"maize"	13.0	1	8.0	1	70000				"APS_tz17_hh"	520					
520.0	531	"legumes_oilseeds"	"pigeon_pea"	3.0	2	2.5	2	120000				"APS_tz17_hh"	520					
521.0	532	"cereals"	"maize"	168.0	10	90.0	10	12000				"APS_tz17_hh"	521					
521.0	533	"legumes_oilseeds"	"pigeon_pea"	9.0	10	8.0	10	15000				"APS_tz17_hh"	521					
522.0	534	"cereals"	"maize"	120.0	1	100.0	1	90000				"APS_tz17_hh"	522					
522.0	535	"legumes_oilseeds"	"pigeon_pea"	3.0	1	3.0	1	150000				"APS_tz17_hh"	522					
523.0	536	"legumes_oilseeds"	"beans"	6.0	1	5.0	1	220000				"APS_tz17_hh"	523					
525.0	537	"legumes_oilseeds"	"pigeon_pea"	4.5	10	4.0	10	20000				"APS_tz17_hh"	525					
527.0	538	"cereals"	"maize"	6.0	1	4.0	1	90000				"APS_tz17_hh"	527					
528.0	539	"cereals"	"maize"	120.0	1	100.0	1	90000				"APS_tz17_hh"	528					
528.0	540	"legumes_oilseeds"	"pigeon_pea"	3.0	1	3.0	1	150000				"APS_tz17_hh"	528					
529.0	541	"cereals"	"maize"	48.0	1	30.0	1	20000				"APS_tz17_hh"	529					
533.0	542	"cereals"	"maize"	15.0	1	10.0	1	80000				"APS_tz17_hh"	533					
533.0	543	"legumes_oilseeds"	"pigeon_pea"	5.0	1	5.0	1	170000				"APS_tz17_hh"	533					
534.0	544	"cereals"	"maize"	48.0	0	38.0	0	55000				"APS_tz17_hh"	534					
535.0	545	"cereals"	"maize"	15.0	0	10.0	0	70000				"APS_tz17_hh"	535					
536.0	546	"cereals"	"maize"	7.0	1	3.0	1	70000				"APS_tz17_hh"	536					
537.0	547	"cereals"	"maize"	30.0	10	12.0	10	12000				"APS_tz17_hh"	537					
539.0	548	"cereals"	"maize"	40.0	10	2.0	1	120000				"APS_tz17_hh"	539					
540.0	549	"cereals"	"maize"	6.0	1	4.0	1	60000				"APS_tz17_hh"	540					
540.0	550	"legumes_oilseeds"	"beans"	2.0	1	1.5	1	240000				"APS_tz17_hh"	540					
542.0	551	"cereals"	"maize"	23.0	1	15.0	1	70000				"APS_tz17_hh"	542					
542.0	552	"legumes_oilseeds"	"beans"	3.0	1	2.0	1	150000				"APS_tz17_hh"	542					
543.0	553	"cereals"	"maize"	14.0	0	7.0	0	100000				"APS_tz17_hh"	543					
544.0	554	"cereals"	"maize"	20.0	0	10.0	0	60000				"APS_tz17_hh"	544					
544.0	555	"vegetables"	"tomatoes"	150.0	14	150.0	14	4000				"APS_tz17_hh"	544					
545.0	556	"cereals"	"maize"	9.0	1	5.0	1	120000				"APS_tz17_hh"	545					
545.0	557	"cereals"	"paddy"	50.0	1	50.0	1	100000				"APS_tz17_hh"	545					
547.0	558	"cereals"	"maize"	105.0	10	70.0	10	8500				"APS_tz17_hh"	547					
547.0	559	"legumes_oilseeds"	"beans"	21.0	10	21.0	10	22000				"APS_tz17_hh"	547					
548.0	560	"cereals"	"maize"	8.0	0	6.0	0	70000				"APS_tz17_hh"	548					
549.0	561	"cereals"	"maize"	38.0	0	27.0	0	80000				"APS_tz17_hh"	549					
549.0	562	"legumes_oilseeds"	"beans"	1.0	0	1.0	0	150000				"APS_tz17_hh"	549					
550.0	563	"cereals"	"maize"	10.0	1	5.0	1	70000				"APS_tz17_hh"	550					
551.0	564	"cereals"	"maize"	5.0	1	1.0	1	80000				"APS_tz17_hh"	551					
552.0	565	"cereals"	"maize"	27.0	1	20.0	1	60000				"APS_tz17_hh"	552					
553.0	566	"cereals"	"maize"	25.0	1	16.0	1	90000				"APS_tz17_hh"	553					
553.0	567	"cereals"	"paddy"	53.0	2	50.0	1	78000				"APS_tz17_hh"	553					
553.0	568	"legumes_oilseeds"	"beans"	5.0	1	4.0	1	160000				"APS_tz17_hh"	553					
554.0	569	"cereals"	"maize"	22.0	1	10.0	1	60000				"APS_tz17_hh"	554					
555.0	570	"cereals"	"paddy"	61.0	1	58.0	1	115000				"APS_tz17_hh"	555					
555.0	571	"cereals"	"maize"	29.0	1	25.0	1	90000				"APS_tz17_hh"	555					
555.0	572	"legumes_oilseeds"	"beans"	4.0	1	3.0	1	210000				"APS_tz17_hh"	555					
556.0	573	"legumes_oilseeds"	"beans"	3.0	1	2.0	1	120000				"APS_tz17_hh"	556					
558.0	574	"cereals"	"maize"	30.0	1	20.0	1	100000				"APS_tz17_hh"	558					
558.0	575	"legumes_oilseeds"	"beans"	4.0	1	3.0	1	150000				"APS_tz17_hh"	558					
559.0	576	"cereals"	"paddy"	60.0	2	59.0	2	80000				"APS_tz17_hh"	559					
560.0	577	"cereals"	"paddy"	50.0	2	43.0	2	100000				"APS_tz17_hh"	560					
560.0	578	"vegetables"	"tomatoes"	50.0	14	50.0	14	25000				"APS_tz17_hh"	560					
560.0	579	"roots_tubers"	"onions"	13.0	2	13.0	2	100000				"APS_tz17_hh"	560					
560.0	580	"cereals"	"maize"	7.0	0	7.0	0	90000				"APS_tz17_hh"	560					
561.0	581	"cereals"	"maize"	65.0	0	50.0	0	50000				"APS_tz17_hh"	561					
561.0	582	"legumes_oilseeds"	"beans"	8.0	0	7.0	0	200000				"APS_tz17_hh"	561					
562.0	583	"cereals"	"maize"	14.0	0	10.0	0	80000				"APS_tz17_hh"	562					
563.0	584	"vegetables"	"veg_other"	0.99	3	0.99	3	15000				"APS_tz17_hh"	563					
564.0	585	"vegetables"	"tomatoes"	15.0	14	15.0	14	20000				"APS_tz17_hh"	564					
564.0	586	"vegetables"	"egg_plant"	5.0	3	5.0	3	25000				"APS_tz17_hh"	564					
566.0	587	"legumes_oilseeds"	"pigeon_pea"	6.0	0	5.5	0	120000				"APS_tz17_hh"	566					
566.0	588	"cereals"	"maize"	16.0	1	4.0	1	60000				"APS_tz17_hh"	566					
567.0	589	"legumes_oilseeds"	"beans"	1.5	1	1.0	1	100000				"APS_tz17_hh"	567					
570.0	590	"legumes_oilseeds"	"pigeon_pea"	1.5	0	1.0	0	90000				"APS_tz17_hh"	570					
571.0	591	"legumes_oilseeds"	"pigeon_pea"	2.0	2	2.0	2	90000				"APS_tz17_hh"	571					
571.0	592	"legumes_oilseeds"	"sunflower"	2.0	2	1.0	2	40000				"APS_tz17_hh"	571					
