fp_index	fpweed_index	weeding_mo	weeding_wk	weeding_typ	fpweed_id	fpweed_uuid	fpweed_submission_time	fpweed_parent_table_name	fpweed_parent_index	fpweed_tags	fpweed_notes	fpweed_version	fpweed_duration	fpweed_submitted_by
81.0	117	12	2	1				"APS_tz17_fp"	81					
81.0	118	1	1	1				"APS_tz17_fp"	81					
82.0	119	1	2	1				"APS_tz17_fp"	82					
82.0	120	3	2	1				"APS_tz17_fp"	82					
82.0	121	4	3	1				"APS_tz17_fp"	82					
83.0	122	1	1	1				"APS_tz17_fp"	83					
83.0	123	2	4	1				"APS_tz17_fp"	83					
84.0	124	1	4	1				"APS_tz17_fp"	84					
84.0	125	3	1	1				"APS_tz17_fp"	84					
85.0	126	10	2	1				"APS_tz17_fp"	85					
85.0	127	1	2	1				"APS_tz17_fp"	85					
86.0	128	1	1	1				"APS_tz17_fp"	86					
87.0	129	11	4	1				"APS_tz17_fp"	87					
87.0	130	12	2	1				"APS_tz17_fp"	87					
88.0	131	1	1	1				"APS_tz17_fp"	88					
88.0	132	2	2	1				"APS_tz17_fp"	88					
89.0	133	3	4	1				"APS_tz17_fp"	89					
90.0	134	11	1	1				"APS_tz17_fp"	90					
90.0	135	12	1	1				"APS_tz17_fp"	90					
91.0	136	11	1	1				"APS_tz17_fp"	91					
91.0	137	12	1	1				"APS_tz17_fp"	91					
92.0	138	10	4	1				"APS_tz17_fp"	92					
92.0	139	12	3	1				"APS_tz17_fp"	92					
93.0	140	12	1	2				"APS_tz17_fp"	93					
93.0	141	1	4	1				"APS_tz17_fp"	93					
94.0	142	12	1	2				"APS_tz17_fp"	94					
94.0	143	1	1	2				"APS_tz17_fp"	94					
95.0	144	1	3	1				"APS_tz17_fp"	95					
95.0	145	3	2	1				"APS_tz17_fp"	95					
96.0	146	1	4	1				"APS_tz17_fp"	96					
96.0	147	2	4	1				"APS_tz17_fp"	96					
97.0	148	12	1	2				"APS_tz17_fp"	97					
97.0	149	2	4	1				"APS_tz17_fp"	97					
98.0	150	12	4	1				"APS_tz17_fp"	98					
98.0	151	1	2	2				"APS_tz17_fp"	98					
98.0	152	2	2	2				"APS_tz17_fp"	98					
99.0	153	1	1	1				"APS_tz17_fp"	99					
99.0	154	2	1	1				"APS_tz17_fp"	99					
100.0	155	1	4	1				"APS_tz17_fp"	100					
100.0	156	2	4	1				"APS_tz17_fp"	100					
101.0	157	1	2	1				"APS_tz17_fp"	101					
101.0	158	2	3	1				"APS_tz17_fp"	101					
102.0	159	1	2	1				"APS_tz17_fp"	102					
102.0	160	2	2	1				"APS_tz17_fp"	102					
103.0	161	1	2	1				"APS_tz17_fp"	103					
103.0	162	3	1	1				"APS_tz17_fp"	103					
104.0	163	1	4	1				"APS_tz17_fp"	104					
104.0	164	3	1	1				"APS_tz17_fp"	104					
105.0	165	1	3	1				"APS_tz17_fp"	105					
105.0	166	2	4	1				"APS_tz17_fp"	105					
106.0	167	1	1	1				"APS_tz17_fp"	106					
106.0	168	2	1	1				"APS_tz17_fp"	106					
107.0	169	12	3	1				"APS_tz17_fp"	107					
107.0	170	1	3	1				"APS_tz17_fp"	107					
108.0	171	12	3	1				"APS_tz17_fp"	108					
108.0	172	1	4	1				"APS_tz17_fp"	108					
109.0	173	2	2	1				"APS_tz17_fp"	109					
110.0	174	1	1	1				"APS_tz17_fp"	110					
110.0	175	3	4	1				"APS_tz17_fp"	110					
111.0	176	1	1	1				"APS_tz17_fp"	111					
111.0	177	2	3	1				"APS_tz17_fp"	111					
112.0	178	1	1	1				"APS_tz17_fp"	112					
112.0	179	2	3	1				"APS_tz17_fp"	112					
113.0	180	1	1	1				"APS_tz17_fp"	113					
113.0	181	2	2	1				"APS_tz17_fp"	113					
115.0	182	1	2	1				"APS_tz17_fp"	115					
115.0	183	2	2	1				"APS_tz17_fp"	115					
116.0	184	1	1	1				"APS_tz17_fp"	116					
116.0	185	2	2	1				"APS_tz17_fp"	116					
117.0	186	1	2	2				"APS_tz17_fp"	117					
118.0	187	1	1	2				"APS_tz17_fp"	118					
119.0	188	1	2	1				"APS_tz17_fp"	119					
119.0	189	2	3	1				"APS_tz17_fp"	119					
120.0	190	1	3	1				"APS_tz17_fp"	120					
120.0	191	3	3	2				"APS_tz17_fp"	120					
121.0	192	1	4	2				"APS_tz17_fp"	121					
121.0	193	2	2	1				"APS_tz17_fp"	121					
122.0	194	4	3	1				"APS_tz17_fp"	122					
123.0	195	3	1	1				"APS_tz17_fp"	123					
124.0	196	4	1	1				"APS_tz17_fp"	124					
125.0	197	2	1	1				"APS_tz17_fp"	125					
125.0	198	4	1	1				"APS_tz17_fp"	125					
126.0	199	2	1	1				"APS_tz17_fp"	126					
127.0	200	2	1	1				"APS_tz17_fp"	127					
127.0	201	3	3	2				"APS_tz17_fp"	127					
128.0	202	1	1	1				"APS_tz17_fp"	128					
129.0	203	1	1	1				"APS_tz17_fp"	129					
130.0	204	1	2	1				"APS_tz17_fp"	130					
130.0	205	3	2	1				"APS_tz17_fp"	130					
131.0	206	1	3	1				"APS_tz17_fp"	131					
131.0	207	4	1	1				"APS_tz17_fp"	131					
133.0	208	12	4	1				"APS_tz17_fp"	133					
134.0	209	4	1	1				"APS_tz17_fp"	134					
136.0	210	1	2	2				"APS_tz17_fp"	136					
136.0	211	2	2	1				"APS_tz17_fp"	136					
137.0	212	1	1	2				"APS_tz17_fp"	137					
137.0	213	1	4	1				"APS_tz17_fp"	137					
138.0	214	1	2	1				"APS_tz17_fp"	138					
139.0	215	1	4	1				"APS_tz17_fp"	139					
140.0	216	1	3	1				"APS_tz17_fp"	140					
140.0	217	2	2	1				"APS_tz17_fp"	140					
141.0	218	1	1	2				"APS_tz17_fp"	141					
141.0	219	1	4	1				"APS_tz17_fp"	141					
141.0	220	2	1	2				"APS_tz17_fp"	141					
142.0	221	1	1	1				"APS_tz17_fp"	142					
142.0	222	6	1	1				"APS_tz17_fp"	142					
143.0	223	1	2	1				"APS_tz17_fp"	143					
